admission_no,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
257003927,A,C,A,B,"A,C",,10,3.14,,D,C,A,A,,,5,1.96,3.1,D,B,D,"A,C,D",C,"B,C",42,7.8,5.2,
257003925,B,C,A,A,,"A,B,D",3,3.64,9.0,D,B,,C,B,"A,B,C",11,1.96,3.1,A,B,C,"A,C,D","A,B",D,42,7.5,5.2,B
257003924,B,C,,A,B,"A,B,D",5,,9.0,D,A,A,C,D,"A,B,C",,2.46,,A,B,D,C,C,"B,C",42,7.5,,A
257041257,A,,,,"A,C","A,B,D",5,,7.9,C,,C,C,,"A,B,C",6,,2.2,B,,,"A,C,D",,C,,,4.2,
257040866,B,B,B,D,,"A,B,D",2,,9.0,,D,D,A,A,"A,B",6,,3.1,A,A,B,"A,C,D",,"B,C",42,7.5,4.2,
257000217,,C,A,A,B,,5,3.14,9.0,,B,A,A,"B,D","A,B,C",,1.66,1.4,A,B,C,"A,C,D",D,D,42,8.0,4.2,B
257025576,A,D,D,A,,,2,3.14,9.0,D,B,,D,D,"B,C",6,1.66,2.2,B,,A,,"A,B",,43,7.2,4.2,B
257000448,B,A,A,A,"A,C",,5,3.14,9.0,D,C,C,B,D,"A,B,C",6,1.96,2.2,A,B,C,"A,C,D",C,C,42,8.0,5.2,
257073012,B,C,D,A,C,D,3,3.14,9.0,D,C,,A,,A,,1.96,2.2,B,B,D,B,,"B,C",43,7.0,3.4,
257003928,A,A,A,A,D,C,5,3.44,10.2,C,A,C,D,"B,D",,6,1.96,,A,A,C,"A,C,D",D,"B,C",41,7.5,4.2,
257003874,B,C,A,A,"A,C","A,B,D",5,3.14,,D,B,C,C,B,"A,B,C",6,1.96,2.2,A,B,C,"A,C,D",,C,42,7.8,4.2,
257050729,D,A,B,A,"A,C",C,5,4.14,7.9,B,,C,D,,"B,C",,1.46,3.1,A,D,C,B,"A,B",B,,7.0,4.2,A
257000373,,B,D,A,"A,C",,,,7.9,C,,A,C,C,D,,1.96,2.2,,D,,B,D,D,47,,,D
257041264,C,C,A,,"A,C","A,B,D",5,3.14,10.2,A,B,,D,,"A,B,C",6,2.46,1.4,B,C,C,B,,D,42,7.5,,
257025715,B,C,A,B,"A,C","A,B,D",5,3.14,9.0,D,B,C,C,"B,D","A,B,C",8,2.26,2.2,,B,C,D,"A,B",C,40,7.5,4.2,
257064006,B,C,A,A,"A,C","A,B,D",5,3.14,,A,B,C,C,A,"A,B,C",6,2.96,2.2,A,B,C,D,"A,B","B,C",42,7.8,4.2,A
257000329,B,A,A,,,B,,,,,A,B,D,,,6,,,,B,,,"A,B",,,8.5,4.2,
257000219,B,C,A,A,"A,C","A,B,D",5,3.14,9.0,D,B,C,A,D,"A,B,C",,1.96,2.2,C,B,C,"A,C,D",,"B,C",42,8.5,4.2,B
257052192,C,C,C,,B,,5,,,C,C,B,,,,8,1.96,1.4,A,B,D,B,D,C,42,7.0,3.4,
257045033,B,C,D,B,C,"A,B,D",5,3.14,9.0,D,B,A,C,"B,D","A,B,C",4,1.96,2.2,A,C,B,"A,C,D","A,B","B,C",44,7.8,3.4,A
257000239,B,C,A,A,,A,5,3.14,9.0,,B,C,D,B,"A,B,C",8,1.96,2.2,B,A,C,"A,C,D",D,,42,7.5,,C
257052726,,C,A,,"A,C","B,D",5,3.14,9.0,D,D,C,C,C,"A,B,C",6,1.96,2.2,D,B,C,B,"A,B","B,C",39,7.5,4.2,
257003501,B,C,A,D,"A,C","A,B,D",5,3.14,9.0,D,B,B,C,"B,D","A,B,C",3,2.96,2.2,A,B,C,"A,C,D",A,"B,C",42,7.5,4.2,
257003508,B,B,A,,"A,C",D,,3.44,9.0,C,B,,C,D,D,6,2.26,3.1,,C,B,"A,C,D",,A,,,4.2,B
